;name;address;e-mail;site;telephone;e_mail
0;Zindabad;Unit 32 Star City Watson Road Unit # 07, Star City Centre, Birmingham B7 5SA England;;http://www.zindabad.uk;tel:+44 121 328 8855;mailto:zindabadstarcity@gmail.com?subject=?
1;Shogun Teppan-Yaki;The Waters Edge, Brindley Pl, Birmingham B1 2HL England;;http://www.shogunteppanyaki.com;tel:+44 121 643 8800;
2;Buffet Island;Queslett Road Great Barr, Birmingham B43 7TN England;;http://buffetisland.com/;tel:+44 121 366 6028;mailto:greatbarr@buffetisland.com?subject=?
3;Bailey's Caribbean Restaurant Limited;103 New Town Row, Birmingham B6 4HG England;;https://www.facebook.com/baileys9872/;tel:+44 121 679 2893;
4;Don Diego Edgbaston;8 Chad Square Hawthorne Road, Birmingham B15 3TQ England;;http://www.dondiego.co.uk;tel:+44 121 448 6460;mailto:INFO@DONDIEGO.CO.UK?subject=?
5;Aluna;128-130 Wharfside Street The Mailbox, Birmingham B1 1RQ England;;http://www.aluna.uk.com/birmingham.php;tel:+44 121 633 9987;mailto:info@aluna.uk.com?subject=?
6;Restaurant Bar A Jee;265 Broad Street, Birmingham B1 2DS England;;http://www.restaurantbarajee.com/location.html;;mailto:info@restaurantbarajee.com?subject=?
7;The Charlie Hall;49 Barnabas Road, Birmingham B23 6SH England;;http://www.jdwetherspoon.co.uk;tel:+44 121 384 2716;
8;Taste Collective;Mell Square Solihull, Birmingham B91 3AY England;;http://tastecollectivesolihull.co.uk/;tel:+44 121 725 8809;mailto:info@tastecollective.co.uk?subject=?
9;No42 Indian restaurant & coffee;42 Poplar Road Kings Heath, Birmingham B14 7AD England;;http://No42restaurant.co.uk;tel:+44 121 296 6774;mailto:Ibby1405@outlook.com?subject=?
10;Viceroy Tandoori;109 Icknield St Jewellery Quarter, Birmingham B18 6RZ England;;http://www.viceroytandoori.com/;tel:+44 121 439 0607;mailto:mujib@viceroytandoori.co.uk?subject=?
11;Ababeel;1069 Warwick Road, Birmingham B27 6QT England;;;tel:+44 121 448 6263;mailto:aba.beel@hotmail.com?subject=?
